"shop_ID" "region" "food_type" "review_n" "taste" "environment" "service" "score_avg" "cost_avg"
"508022" "北太平庄" "火锅" 571 21 19 17 3.57 50
"508241" "五道口" "咖啡厅" 260 24 26 26 4.04 37
"508272" "五道口" "咖啡厅" 58 19 23 20 3.64 32
"508302" "北太平庄" "小吃" 339 19 13 12 3.34 31
"508452" "北太平庄" "北京菜" 901 24 21 19 3.77 96
"508491" "北太平庄" "火锅" 571 19 16 17 3.62 42
"508739" "北太平庄" "川菜" 694 26 14 15 3.73 69
"509126" "五道口" "川菜" 374 18 16 14 3.25 46
"509198" "五道口" "咖啡厅" 456 21 25 21 3.63 40
"509479" "五道口" "小吃" 492 20 17 16 3.42 28
"510020" "五道口" "韩国料理" 1153 23 17 17 3.64 48
"510090" "北太平庄" "韩国料理" 977 24 21 22 3.98 60
"510125" "北太平庄" "火锅" 231 21 15 18 3.45 40
"510502" "北太平庄" "川菜" 108 21 16 18 3.54 36
"510548" "北太平庄" "快餐" 136 19 15 15 3.18 15
"510895" "北太平庄" "韩国料理" 1213 26 22 23 4.03 63
"511023" "五道口" "川菜" 112 20 16 16 3.24 47
"511051" "北太平庄" "面包" 27 22 18 19 3.22 14
"511122" "北太平庄" "北京菜" 44 21 20 21 3.55 36
"511159" "北太平庄" "面包" 745 26 22 20 3.99 21
"511220" "北太平庄" "川菜" 200 22 21 19 3.61 60
"511314" "五道口" "北京菜" 792 21 19 17 3.54 46
"511360" "五道口" "火锅" 39 20 14 15 3.44 37
"511362" "五道口" "川菜" 368 20 22 17 3.5 65
"511448" "五道口" "北京菜" 169 23 22 21 3.8 57
"511476" "北太平庄" "小吃" 343 23 13 13 3.54 15
"511588" "五道口" "火锅" 982 22 19 18 3.63 63
"511595" "五道口" "咖啡厅" 102 21 21 21 3.56 33
"511596" "五道口" "北京菜" 755 21 20 18 3.66 53
"511677" "五道口" "韩国料理" 243 26 21 19 3.7 68
"511679" "北太平庄" "北京菜" 84 21 17 20 3.29 35
"511846" "五道口" "小吃" 136 20 17 17 3.36 40
"512001" "北太平庄" "咖啡厅" 80 23 25 25 4.05 42
"512076" "北太平庄" "北京菜" 713 26 15 19 3.97 33
"512263" "五道口" "北京菜" 563 20 19 18 3.43 44
"512363" "五道口" "韩国料理" 294 25 18 20 3.63 54
"512426" "北太平庄" "川菜" 511 23 20 18 3.83 46
"512468" "北太平庄" "咖啡厅" 45 19 17 18 3.4 35
"512479" "五道口" "北京菜" 92 24 23 20 3.68 59
"512509" "北太平庄" "川菜" 857 25 27 24 3.82 78
"512619" "五道口" "小吃" 1356 20 17 16 3.51 27
"512667" "北太平庄" "小吃" 233 18 16 13 3.21 27
"512753" "北太平庄" "火锅" 160 21 17 17 3.35 48
"512791" "北太平庄" "北京菜" 75 22 18 19 3.68 30
"512917" "北太平庄" "北京菜" 431 22 15 17 3.51 47
"513165" "北太平庄" "川菜" 429 25 15 17 3.87 50
"513218" "五道口" "北京菜" 144 22 19 20 3.46 46
"513304" "北太平庄" "北京菜" 398 20 18 16 3.22 46
"513604" "北太平庄" "北京菜" 568 24 21 21 3.72 53
"513728" "北太平庄" "小吃" 99 21 17 18 3.41 13
"513760" "北太平庄" "小吃" 32 21 12 14 2.93 12
"513979" "北太平庄" "川菜" 64 20 15 16 3.07 28
"514127" "北太平庄" "北京菜" 50 21 19 18 3.2 28
"514356" "北太平庄" "快餐" 169 16 16 16 3.21 20
"514466" "北太平庄" "北京菜" 112 23 20 21 3.79 37
"514779" "北太平庄" "小吃" 1184 23 19 21 3.7 39
"514881" "五道口" "北京菜" 49 22 24 22 3.02 144
"515342" "五道口" "韩国料理" 1143 22 17 18 3.63 54
"515381" "北太平庄" "火锅" 3210 27 23 33 4.32 66
"515737" "五道口" "小吃" 105 23 14 15 3.38 13
"515995" "五道口" "韩国料理" 309 23 24 21 3.72 65
"516005" "北太平庄" "北京菜" 27 25 26 24 3.68 414
"516103" "五道口" "面包" 1354 26 26 22 3.89 27
"516166" "五道口" "川菜" 17 22 17 17 3.16 30
"516228" "北太平庄" "其他小吃" 85 21 20 18 3.51 20
"516483" "五道口" "咖啡厅" 92 24 19 20 3.47 34
"516484" "五道口" "北京菜" 8 20 18 18 3.66 23
"516517" "北太平庄" "北京菜" 40 23 20 20 3.58 27
"516519" "五道口" "北京菜" 40 24 22 22 3.45 59
"516579" "五道口" "火锅" 126 24 17 19 3.73 40
"561347" "北太平庄" "川菜" 14 19 16 16 3.5 25
"561689" "北太平庄" "小吃" 118 22 18 19 3.72 13
"561692" "北太平庄" "面包" 37 16 14 15 2.75 9
"564089" "五道口" "咖啡厅" 138 24 21 21 3.8 37
"564990" "北太平庄" "面包" 240 25 23 23 3.83 28
"565089" "五道口" "小吃" 183 20 17 17 3.29 29
"565233" "北太平庄" "小吃" 16 23 16 18 3.33 9
"565542" "五道口" "其他小吃" 87 18 18 16 3.56 21
"565666" "五道口" "韩国料理" 1764 23 15 17 3.51 102
"566506" "北太平庄" "小吃" 219 22 18 18 3.38 26
"566760" "五道口" "川菜" 113 20 14 15 3.28 37
"567279" "北太平庄" "快餐" 15 20 16 18 3.16 14
"567449" "北太平庄" "小吃" 110 17 12 12 3.41 17
"568039" "北太平庄" "火锅" 127 18 17 17 3.46 44
"568135" "北太平庄" "咖啡厅" 311 17 22 16 3.31 47
"568691" "北太平庄" "北京菜" 52 20 18 19 3.11 39
"569849" "北太平庄" "甜点" 81 26 21 23 3.8 28
"569935" "五道口" "快餐" 269 14 15 15 3.21 22
"579185" "北太平庄" "火锅" 63 25 17 21 3.9 49
"580657" "北太平庄" "韩国料理" 36 20 17 18 3.22 31
"580968" "五道口" "火锅" 61 21 18 18 3.66 43
"582153" "北太平庄" "火锅" 230 24 16 19 3.7 62
"582273" "北太平庄" "快餐" 151 20 19 17 3.45 22
"583447" "五道口" "韩国料理" 101 27 22 22 4.02 58
"585324" "五道口" "小吃" 76 21 19 19 3.44 47
"586602" "北太平庄" "其他小吃" 18 17 14 15 2.4 18
"586635" "五道口" "小吃" 152 24 21 19 3.67 46
"1884028" "五道口" "快餐" 55 16 15 15 2.68 20
"1893607" "北太平庄" "小吃" 270 21 18 17 3.39 26
"1909669" "北太平庄" "其他小吃" 94 20 10 16 3 11
"1916848" "北太平庄" "川菜" 57 22 19 20 3.38 47
"1917847" "五道口" "北京菜" 74 22 20 20 3.51 7
"1917850" "五道口" "快餐" 61 23 16 19 3.72 7
"1918093" "五道口" "快餐" 217 25 20 19 3.98 22
"1918099" "五道口" "快餐" 93 20 18 18 3.83 8
"1918102" "五道口" "北京菜" 53 23 20 20 3.45 20
"1921084" "五道口" "面包" 97 24 19 19 3.89 21
"1923991" "五道口" "小吃" 41 20 15 16 3.66 34
"1926541" "五道口" "北京菜" 937 28 27 25 4.13 126
"1940419" "北太平庄" "火锅" 585 25 21 20 3.88 60
"1942477" "北太平庄" "咖啡厅" 327 19 24 20 3.79 39
"1952302" "五道口" "韩国料理" 426 22 20 21 3.67 30
"1953427" "北太平庄" "北京菜" 26 22 21 20 3.5 12
"1958686" "北太平庄" "川菜" 65 22 16 16 3.88 7
"1959169" "北太平庄" "火锅" 400 24 18 18 3.76 31
"1960495" "北太平庄" "川菜" 1215 25 27 20 3.95 78
"1961191" "五道口" "快餐" 177 19 16 15 3.4 16
"1969027" "北太平庄" "小吃" 56 21 16 18 3.32 27
"1973548" "北太平庄" "川菜" 113 23 18 18 3.5 37
"1997866" "五道口" "小吃" 6 21 17 17 3 15
"2001100" "北太平庄" "火锅" 80 23 15 19 3.66 46
"2001895" "五道口" "小吃" 41 20 20 16 3.23 41
"2005348" "北太平庄" "小吃" 140 24 15 17 3.7 35
"2011441" "北太平庄" "小吃" 16 21 16 17 3.57 2
"2012473" "五道口" "其他小吃" 29 21 16 17 3.5 15
"2019982" "五道口" "快餐" 130 22 17 16 3.81 14
"2022970" "五道口" "小吃" 52 20 17 17 3.28 41
"2023327" "北太平庄" "火锅" 242 22 16 17 3.53 48
"2024185" "五道口" "其他小吃" 85 26 17 23 3.72 3
"2028058" "五道口" "韩国料理" 333 25 24 24 3.69 60
"2029957" "北太平庄" "咖啡厅" 74 25 24 25 3.85 41
"2033725" "五道口" "北京菜" 64 22 20 21 3.27 40
"2037532" "北太平庄" "咖啡厅" 31 21 20 18 3.5 48
"2039683" "五道口" "北京菜" 146 27 22 24 3.88 43
"2040115" "五道口" "韩国料理" 58 21 20 21 3.57 56
"2044624" "五道口" "小吃" 21 22 19 18 3.33 30
"2045092" "北太平庄" "快餐" 37 21 14 17 3.29 5
"2046730" "北太平庄" "小吃" 23 18 14 15 3.5 14
"2048125" "五道口" "韩国料理" 22 23 19 19 3.42 44
"2056765" "五道口" "面包" 271 23 21 21 3.59 20
"2061667" "五道口" "咖啡厅" 74 16 17 17 3.24 19
"2063797" "北太平庄" "咖啡厅" 120 16 17 16 2.95 47
"2070667" "北太平庄" "火锅" 17 23 19 20 3.54 50
"2071018" "北太平庄" "面包" 51 22 20 18 3.25 17
"2075749" "五道口" "韩国料理" 72 24 21 20 3.79 65
"2078053" "北太平庄" "小吃" 83 22 15 17 3.56 21
